a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230125.3-1
accountsservice 23.13.9-1
acl 2.3.1-3
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-serif-cn-fonts 2.001-2
adw-gtk-theme 1.1-1
adw-gtk3 4.8-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
adwaita-qt5 1.4.2-1
adwaita-qt6 1.4.2-1
agetpkg 4-1
alsa-card-profiles 1:0.3.75-2
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
aom 3.6.1-1
apache 2.4.57-1
appstream 0.16.2-1
apr 1.7.3-1
apr-util 1.6.3-1
archlinux-keyring 20230704-1
archlinuxcn-keyring 20230316-1
argon2 20190702-5
aria2-fast 1.36.0-4
aribb24 1.0.3-3
arpchat-bin 1.0.0-2
aspell 0.60.8-3
aspell-en 2020.12.07-1
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
attr 2.5.1-3
audacity 1:3.3.2-1
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
aws-c-auth 0.7.1-1
aws-c-cal 0.6.1-1
aws-c-common 0.9.0-1
aws-c-compression 0.2.17-1
aws-c-event-stream 0.3.1-1
aws-c-http 0.7.11-1
aws-c-io 0.13.30-1
aws-c-mqtt 0.8.14-1
aws-c-s3 0.3.14-1
aws-c-sdkutils 0.1.12-1
aws-checksums 0.1.17-1
aws-crt-cpp 0.20.7-1
aws-sdk-cpp 1.11.124-1
ayatana-ido 0.10.0-1
baobab 44.0-1
base 3-2
base-devel 1-2
bash 5.1.016-2
bash-completion 2.11-3
bashrc-manjaro 5.1.016-2
bilibili-bin 1.10.1-4
binutils 2.40-6
bison 3.8.2-6
blas 3.11.0-2
blas64-openblas 0.3.23-3
blueman 2.3.5-2
bluez 5.68-1
bluez-libs 5.68-1
bluez-utils 5.68-1
bolt 0.9.5-1
boost-libs 1.81.0-7
box2d 2.4.1-1
brotli 1.0.9-12
btrfs-progs 6.3.2-1
btrfsmaintenance 1:0.5-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.91-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cairomm-1.16 1.16.2-1
calcmysky-qt6 0.3.1-2
cantarell-fonts 1:0.303.1-1
cblas 3.11.0-2
cdparanoia 10.2-8
cdrtools 3.02a09-5
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.215-1
clash-geoip 20230712-1
clash-meta 1.15.0-2
clash-verge 1.3.5-2
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gtk 1.8.4-3
code 1.79.2-1
code-features 1.79.0-1
code-marketplace 1.78.0-1
cogl 1.22.8-2
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
confuse 3.3-3
copyq 7.0.0-1
coreutils 9.3-1
cracklib 2.9.11-1
cronie 1.6.1-1
cryptsetup 2.6.1-3.4
cups-pk-helper 0.2.7-1
curl 8.2.0-2
d-feet 0.3.16-3
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
dconf-editor 43.0-1
debugedit 5.0-5
deepin-wine-helper 5.1.45_1-1
