adapta-maia-theme 3.94.0.149-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-serif-cn-fonts 2.002-1
adw-gtk-theme 1.1-1
adwaita-qt5 1.4.2-1
adwaita-qt6 1.4.2-1
agetpkg 4-1
aircrack-ng 1.7-3
archlinuxcn-keyring 20230923-1
aria2-fast 1.37.0-1
arpchat-bin 1.0.0-2
aspell-en 2020.12.07-1
audacity 1:3.4.2-2
base 3-2
base-devel 1-2
bash-completion 2.11-3
bilibili-bin 1.10.1-4
blueman 2.3.5-2
bluez-utils 5.71-3
btrfs-progs 6.6.3-1
btrfsmaintenance 1:0.5-1
bustle 0.8.0-40
cdrtools 3.02a09-5
clash-meta 1.18.0-2
clash-verge 1.4.5-3
code 1.85.1-1
code-features 1.79.0-1
code-marketplace 1.78.0-1
copyq 7.1.0-2
cronie 1.7.0-4
cups-pdf 3.0.1-7
d-feet 0.3.16-3
dconf-editor 45.0.1-1
diffoscope 253-2
dunst 1.9.2-1
dust 0.8.6-1
efibootmgr 18-2
eog 45.1-1
epiphany 45.1-1
expac 10-5
fcitx5-chinese-addons 5.1.2-2
firefox 121.0-1
firewalld 2.0.2-1
flatpak 1:1.15.6-1
foliate 3.0.1-2
font-manager 0.8.8-1
gnome-backgrounds 45.0-1
gnome-browser-connector 42.1-4
gnome-calculator 45.0.2-1
gnome-characters 45.0-1
gnome-font-viewer 45.0-1
gnome-meta 1:43-1
gnome-remote-desktop 45.1-1
gnome-session-properties 3.10.1-1
gnome-shell-extension-appindicator 2:57-1
gnome-shell-extension-gsconnect 56-1
gnome-tweaks 45.0-1
gparted 1.5.0-1
grub 2.12-3
gst-plugin-pipewire 1:1.0.0-2
gthumb 3.12.4-1
howdy 2.6.1-3
hunspell-en_us 2020.12.07-5
hyphen-en 2.8.8-5
img2pdf 0.5.1-1
inkscape 1.3.2-3
intel-media-driver 23.4.2-1
intel-ucode 20231114-1
intel-undervolt 1.7-2
julia 2:1.10.0-1
lapce 0.3.1-1
libappindicator-gtk2 12.10.0.r298-3
libappindicator-gtk3 12.10.0.r298-3
libinput-gestures 2.76-1
libnautilus-extension-typeahead 1:42.2-3
libreoffice-fresh 7.6.4-2
libxcrypt-compat 4.4.36-1
linux419 4.19.303-1
linux419-headers 4.19.303-1
linux515 5.15.145-1
linux515-headers 5.15.145-1
linux61 6.1.69-1
linux61-headers 6.1.69-1
linux66 6.6.8-2
linux66-headers 6.6.8-2
lnav 0.11.2-1
lyx 2.3.7-2
mailnag 2.2.0-6
man-pages 6.05.01-2
manjaro-asian-input-support-fcitx5 2022.04-1
manjaro-release 23.1.2-1
manjaro-settings-manager 0.5.7-20
manjaro-tools-base-git r3016.263d640-1
mathematica 13.2.0-1
meld 3.22.0-2
miktex 23.12-1
mutter 1:45.2-1
mythes-en 20221102-2
nautilus-typeahead 1:42.2-3
neovim 0.9.5-1
netease-cloud-music 1.2.1-8
netease-cloud-music-gtk4 2.3.0-1
nethogs 0.8.7-1
networkmanager 1.44.2-3
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-3
nix 2.19.1-1
nm-connection-editor 1.34.0-1
ntfs-3g 2022.10.3-1
nushell 0.88.1-1
nuspell 5.1.4-2
nutstore 5.1.7-1
obsidian 1.5.3-1
ocproxy-git 1.60.r9.gc98f06d-1
openresolv 3.13.2-2
openssl-1.1 1.1.1.w-1
os-prober 1.81-1
otf-latin-modern 2.004-4
otf-latinmodern-math 1.959-4
pandoc-bin 3.1.11-1
papirus-icon-theme 20231201-2
pavucontrol 1:5.0+r64+geba9ca6-1
pdfarranger 1.10.1-1
perl-tk 804.036-5
pipewire-alsa 1:1.0.0-2
pipewire-jack 1:1.0.0-2
pipewire-pulse 1:1.0.0-2
podman 4.8.2-1
python-nautilus 1:1.2.3-7
python-pyqt5 5.15.10-1
qpdfview-bzr 2153-1
qt5ct 1.8-1
qt6ct 0.9-4
seahorse 1:43.0-2
squid 6.6-1
sshuttle 1.1.1-2
stellarium 23.4-1
tailscale 1.56.1-1
telegram-desktop 4.13.1-1
texlive-installer 2023-4
texstudio 1:4.5.2-1
tilda 1.5.4-1
tilix 1.9.6-1
tk 8.6.13-2
transmission-gtk 4.0.5-1
ttf-fira-code 6.2-2
ttf-hack 3.003-6
ttf-nerd-fonts-symbols 3.1.1-1
ttf-roboto 2.138-4
tun2socks 2.4.1-1
unbound 1.19.0-1
upd72020x-fw 1:1.0.0-2
vlc 3.0.20-4
vnstat 2.11-1
vulkan-intel 1:23.1.9-1
watchman-bin 2023.08.07.00-1
wemeet-bin 3.19.0.401-2
wimlib 1.14.3-1
wine-mono 8.1.0-1
wine-wechat-setup 1.4-1
wireplumber 0.4.17-1
wireshark-qt 4.2.0-2
wqy-microhei 0.2.0_beta-11
xclip 0.13-4
xcursor-breeze 5.27.6-1
xdg-desktop-portal 1.18.2-1
xdotool 3.20211022.1-1
xorg-xev 1.2.5-1
xorg-xmodmap 1.0.11-1
xpad 5.8.0-1
xxd-standalone 9.0.1383-1
yay 12.2.0-1
zhumu 5.5.188.0612-1
zoom 5.17.1-1
zsh 5.9-4
